"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Jun 01 11:02:10 CST 2023","Thu Jun 01 11:02:10 CST 2023","0","test_project","test_case_execution","TestAllCases","","","test_all_cases[caseinfo3]",""
"passed","Tue May 09 13:15:22 CST 2023","Tue May 09 13:15:22 CST 2023","136","test_project","finance","TestFinance","","","test_payment_exception[caseinfo3]",""
"passed","Tue May 09 17:34:03 CST 2023","Tue May 09 17:34:03 CST 2023","100","test_project","finance","TestFinance","","","test_payment_exception[caseinfo2]",""
"skipped","Wed May 10 14:21:11 CST 2023","Wed May 10 14:21:11 CST 2023","0","","test2","","","","test_add[8-9-16]",""
"failed","Tue May 09 16:11:33 CST 2023","Tue May 09 16:11:33 CST 2023","0","","test","","","","test_assertion",""
"passed","Tue Jun 06 10:05:21 CST 2023","Tue Jun 06 10:05:21 CST 2023","479","test_project","test001_get_token","Test_login","","","test_get_token[caseinfo0]","获取token"
"passed","Wed May 10 09:36:14 CST 2023","Wed May 10 09:36:15 CST 2023","661","test_project","test_case_execution","TestAllCases","","","test_value[caseinfo2]",""
"passed","Wed May 10 09:50:10 CST 2023","Wed May 10 09:50:10 CST 2023","0","test_project","test_case_execution","TestAllCases","","","test_app",""
"passed","Sat May 06 10:51:05 CST 2023","Sat May 06 10:51:06 CST 2023","229","test_project","finance","TestFinance","","","test_new_income_flow[caseinfo0]","新增收入流水"
"passed","Wed May 10 10:03:36 CST 2023","Wed May 10 10:03:36 CST 2023","0","","test","TestClass","","","test_method1",""
"passed","Wed May 10 10:19:30 CST 2023","Wed May 10 10:19:33 CST 2023","3297","test_project","test_case_execution","TestAllCases","","","test_all_cases",""
"passed","Wed May 10 10:00:10 CST 2023","Wed May 10 10:00:10 CST 2023","0","","test","TestMyClass","","","test_function2",""
"skipped","Thu Jun 01 11:02:10 CST 2023","Thu Jun 01 11:02:10 CST 2023","0","test_project","test_case_execution","TestAllCases","","","test_all_cases[caseinfo1]",""
"skipped","Thu Jun 01 11:02:10 CST 2023","Thu Jun 01 11:02:10 CST 2023","0","test_project","test_case_execution","TestAllCases","","","test_all_cases[caseinfo2]",""
"passed","Thu Jun 01 11:02:10 CST 2023","Thu Jun 01 11:02:10 CST 2023","308","test_project","test_case_execution","TestAllCases","","","test_all_cases[caseinfo5]",""
"skipped","Thu Jun 01 11:02:10 CST 2023","Thu Jun 01 11:02:10 CST 2023","0","test_project","test_case_execution","TestAllCases","","","test_all_cases[caseinfo4]",""
"passed","Wed May 10 14:21:11 CST 2023","Wed May 10 14:21:11 CST 2023","1","","test2","","","","test_add[1-2-3]",""
"passed","Wed May 10 10:08:29 CST 2023","Wed May 10 10:08:29 CST 2023","0","","test","TestClass","","","test_method2",""
"passed","Tue May 09 17:51:56 CST 2023","Tue May 09 17:51:56 CST 2023","115","test_project","finance","TestAllCases","","","test_all_cases[caseinfo0]",""
"passed","Wed May 10 10:00:10 CST 2023","Wed May 10 10:00:10 CST 2023","0","","test","TestMyClass","","","test_function1",""
"passed","Tue May 09 17:51:57 CST 2023","Tue May 09 17:51:57 CST 2023","119","test_project","finance","TestAllCases","","","test_all_cases[caseinfo2]",""
"passed","Wed May 10 14:21:11 CST 2023","Wed May 10 14:21:11 CST 2023","0","","test2","","","","test_add[6-7-13]",""
"failed","Tue May 09 16:11:50 CST 2023","Tue May 09 16:11:50 CST 2023","1","","test","TestAssertions","","","test_string_4",""
"passed","Wed May 10 09:36:13 CST 2023","Wed May 10 09:36:14 CST 2023","1586","test_project","test_case_execution","TestAllCases","","","test_value[caseinfo1]",""
"passed","Tue May 09 17:34:02 CST 2023","Tue May 09 17:34:03 CST 2023","264","test_project","finance","TestFinance","","","test_payment_exception[caseinfo1]",""
"passed","Wed May 10 14:21:11 CST 2023","Wed May 10 14:21:11 CST 2023","0","","test2","","","","test_add[4-5-9]",""
"passed","Tue May 09 17:51:56 CST 2023","Tue May 09 17:51:57 CST 2023","303","test_project","finance","TestAllCases","","","test_all_cases[caseinfo1]",""
"passed","Wed May 10 09:36:06 CST 2023","Wed May 10 09:36:13 CST 2023","7199","test_project","test_case_execution","TestAllCases","","","test_value[caseinfo0]",""
"passed","Tue May 09 17:34:02 CST 2023","Tue May 09 17:34:02 CST 2023","112","test_project","finance","TestFinance","","","test_payment_exception[caseinfo0]",""
"skipped","Thu Jun 01 11:02:10 CST 2023","Thu Jun 01 11:02:10 CST 2023","0","test_project","test_case_execution","TestAllCases","","","test_all_cases[caseinfo0]",""
